window,start,end,drift,drift_p_value,drift_statistic,trusted,trusted_ratio,oracle_used,mean_confidence,mean_recon_error,memory_total,window_accuracy,window_precision,window_recall,window_f1,window_false_positive_rate,window_false_negative_rate,window_tn,window_fp,window_fn,window_tp
0.0,0.0,2000.0,0.0,0.887432475481759,0.0153,1927.0,0.9635,0.0,0.9882110953330994,0.0064394292421638966,4096.0,0.987,0.9852164730728616,0.9873015873015873,0.9862579281183932,0.013270142180094787,0.012698412698412698,1041.0,14.0,12.0,933.0
1.0,2000.0,4000.0,0.0,0.6558348130336308,0.0193,1939.0,0.9695,0.0,0.9899028539657593,0.0061766826547682285,4096.0,0.989,0.9946808510638298,0.9821428571428571,0.9883720930232558,0.004770992366412214,0.017857142857142856,1043.0,5.0,17.0,935.0
2.0,4000.0,6000.0,1.0,0.04638369308447315,0.0362,1931.0,0.9655,0.0,0.9886814951896667,0.0060430564917624,4096.0,0.988,0.991130820399113,0.9824175824175824,0.9867549668874172,0.007339449541284404,0.017582417582417582,1082.0,8.0,16.0,894.0
3.0,6000.0,8000.0,1.0,0.010671681686836727,0.0427,1940.0,0.97,0.0,0.9890831112861633,0.006802777759730816,4096.0,0.987,0.9900442477876106,0.981359649122807,0.98568281938326,0.008272058823529412,0.01864035087719298,1079.0,9.0,17.0,895.0
4.0,8000.0,10000.0,1.0,0.00014276155015135986,0.0577,1955.0,0.9775,0.0,0.992108166217804,0.0068970308639109135,4096.0,0.9845,0.9947312961011591,0.9731958762886598,0.9838457529963522,0.0048543689320388345,0.026804123711340205,1025.0,5.0,26.0,944.0
5.0,10000.0,12000.0,1.0,3.6427344449356795e-12,0.0971,1944.0,0.972,0.0,0.9905492663383484,0.006969214882701635,4096.0,0.975,0.985244040862656,0.9591160220994475,0.9720044792833146,0.011872146118721462,0.04088397790055249,1082.0,13.0,37.0,868.0
6.0,12000.0,14000.0,1.0,6.399818585801407e-14,0.1041,1947.0,0.9735,0.0,0.9903759956359863,0.006948034279048443,4096.0,0.9815,0.9869989165763814,0.9732905982905983,0.9800968262506725,0.011278195488721804,0.026709401709401708,1052.0,12.0,25.0,911.0
7.0,14000.0,16000.0,1.0,1.2408726749692903e-15,0.1105,1950.0,0.975,0.0,0.9906154870986938,0.006893200799822807,4096.0,0.98,0.9901531728665208,0.9668803418803419,0.9783783783783785,0.008458646616541353,0.03311965811965812,1055.0,9.0,31.0,905.0
8.0,16000.0,18000.0,1.0,0.0005116648579761937,0.0537,1954.0,0.977,0.0,0.9895538091659546,0.00700314249843359,4096.0,0.98,0.9887133182844243,0.9668874172185431,0.9776785714285714,0.009140767824497258,0.033112582781456956,1084.0,10.0,30.0,876.0
9.0,18000.0,20000.0,1.0,1.357476197105597e-08,0.081,1947.0,0.9735,0.0,0.9888864755630493,0.006912291049957275,4096.0,0.974,0.9783783783783784,0.9658484525080042,0.9720730397422126,0.01881467544684854,0.03415154749199573,1043.0,20.0,32.0,905.0
